02-05 12:38:38.954 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->onSaveInstanceState(Landroid/os/Bundle;)V
02-05 12:38:38.955 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->onSaveInstanceState(Landroid/os/Bundle;)V
02-05 12:38:39.027 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->handleMessage(Landroid/os/Message;)V
02-05 12:38:39.027 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/latin/utils/LeakGuardHandlerWrapper;->a()Ljava/lang/Object;
02-05 12:38:39.027 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/latin/utils/LeakGuardHandlerWrapper;->a()Ljava/lang/Object;
02-05 12:38:39.027 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:39.029 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:39.029 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->b()V
02-05 12:38:39.030 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->b()V
02-05 12:38:39.030 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->handleMessage(Landroid/os/Message;)V
02-05 12:38:39.245 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->handleMessage(Landroid/os/Message;)V
02-05 12:38:39.245 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/latin/utils/LeakGuardHandlerWrapper;->a()Ljava/lang/Object;
02-05 12:38:39.245 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/latin/utils/LeakGuardHandlerWrapper;->a()Ljava/lang/Object;
02-05 12:38:39.245 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:39.253 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:39.253 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->b()V
02-05 12:38:39.253 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->b()V
02-05 12:38:39.253 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->handleMessage(Landroid/os/Message;)V
02-05 12:38:39.453 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->handleMessage(Landroid/os/Message;)V
02-05 12:38:39.453 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/latin/utils/LeakGuardHandlerWrapper;->a()Ljava/lang/Object;
02-05 12:38:39.453 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/latin/utils/LeakGuardHandlerWrapper;->a()Ljava/lang/Object;
02-05 12:38:39.453 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:39.455 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:39.455 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->b()V
02-05 12:38:39.455 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->b()V
02-05 12:38:39.455 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->handleMessage(Landroid/os/Message;)V
02-05 12:38:39.693 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->handleMessage(Landroid/os/Message;)V
